animal,N,ID,Subspecies,B2.TOT,B2.UV,B2.VIS,B2.NIR,B2.TOT.EGG,B2.UV.EGG,B2.VIS.EGG,B2.NIR.EGG,class,treetax_initial_class
Cinnyris_tsavoensis,153,Cintsa,NA,37.13547613,5.759026987,6.557910912,47.88912149,NA,NA,NA,NA,Aves,Nectarinia_tsavoensis
Cinnyris_ursulae,154,Cinurs,NA,36.02061351,5.336154758,8.576930347,45.83150114,NA,NA,NA,NA,Aves,Nectarinia_ursulae
Cinnyris_venustus,155,Cinven,NA,43.41851061,7.940033157,15.01675949,53.81109685,NA,NA,NA,NA,Aves,Nectarinia_venusta
Cinnyris_voeltzkowi,156,Cinvoe,NA,38.98208079,6.967289706,13.62402641,48.28619004,NA,NA,NA,NA,Aves,NA
Cyanomitra_alinae,157,Cyaali,NA,37.92909513,5.705693515,8.398035286,48.43721577,NA,NA,NA,NA,Aves,Nectarinia_alinae
Cyanomitra_bannermani,158,Cyaban,NA,38.40300933,9.251450083,12.1943905,47.76389242,NA,NA,NA,NA,Aves,Nectarinia_bannermani
Cyanomitra_cyanolaema,159,Cyacya,NA,40.87595142,8.46180077,12.43733809,51.08250898,NA,NA,NA,NA,Aves,Nectarinia_cyanolaema
Cyanomitra_oritis,160,Cyaori,NA,36.92859571,6.286716825,9.858751032,46.63000741,NA,NA,NA,NA,Aves,Nectarinia_oritis
Cyanomitra_veroxii,161,Cyaver,NA,47.2348685,9.760473437,17.65663849,58.08829222,NA,NA,NA,NA,Aves,Nectarinia_veroxii
Cyanomitra_verticalis,162,Cyavet,NA,40.12434949,8.073253742,11.57901781,50.33919056,NA,NA,NA,NA,Aves,Nectarinia_verticalis
Deleornis_axillaris,163,Delaxi,NA,42.05885692,13.03413906,17.9088568,50.82038063,NA,NA,NA,NA,Aves,Deleornis_axillaris
Deleornis_fraseri,164,Delfra,NA,41.48980595,10.71142798,18.84871683,49.93283949,NA,NA,NA,NA,Aves,Deleornis_fraseri
Drepanorhynchus_reichenowi,165,Drerei,NA,38.14575889,7.107991168,9.768356433,48.2445299,NA,NA,NA,NA,Aves,NA
Hedydipna_collaris,166,Hedcol,NA,39.05830875,9.32971985,18.18277649,46.93013697,NA,NA,NA,NA,Aves,NA
Hedydipna_platura,167,Hedpla,NA,39.36593967,9.481815945,14.33869125,48.43467539,NA,NA,NA,NA,Aves,NA
Kurochkinegramma_hypogrammicum,168,Kurhyp,NA,37.01177148,10.88845891,12.45639955,45.70325648,NA,NA,NA,NA,Aves,Hypogramma_hypogrammicum
Leptocoma_aspasia,169,Lepasp,NA,34.94531122,7.644811547,10.98786735,43.54334643,NA,NA,NA,NA,Aves,Nectarinia_aspasia
Leptocoma_brasiliana,170,Lepbra,NA,27.55755189,7.997031402,6.247386865,34.90064964,NA,NA,NA,NA,Aves,Leptocoma_brasiliana
Leptocoma_calcostetha,171,Lepcha,NA,31.43950779,4.939594081,6.172312137,40.35958855,NA,NA,NA,NA,Aves,Nectarinia_calcostetha
Leptocoma_juliae,172,Lepjul,NA,30.95260495,8.359951412,9.776067982,38.45120287,NA,NA,NA,NA,Aves,Leptocoma_juliae
Leptocoma_sperata,173,Lepsep,NA,32.72889985,9.396661797,10.25699391,40.64506878,NA,NA,NA,NA,Aves,NA
Leptocoma_sperata,174,Lepspe,NA,36.5713292,8.512171698,9.363862097,46.14492272,NA,NA,NA,NA,Aves,Nectarinia_sperata
Leptocoma_zeylonica,175,Lepzey,NA,38.97607946,12.47806978,19.13379961,46.34339019,NA,NA,NA,NA,Aves,Nectarinia_zeylonica
Leptocoma_sperata,176,Lespe,NA,38.81551284,9.956279739,15.21082396,47.41048896,NA,NA,NA,NA,Aves,NA
Nectarinia_bocagii,177,Necboc,NA,37.46705032,6.886417073,8.919918592,47.58520247,NA,NA,NA,NA,Aves,Nectarinia_bocagii
Nectarinia_famosa,178,Necfam,NA,33.8366606,7.332758217,10.47274868,42.21436408,NA,NA,NA,NA,Aves,Nectarinia_famosa
Nectarinia_johnstoni,179,Necjoh,NA,36.84678518,4.186309178,7.233063006,47.40423109,NA,NA,NA,NA,Aves,Nectarinia_johnstoni
Nectarinia_purpureiventris,180,Necpur,NA,36.00449227,7.038027178,8.809614896,45.63438865,NA,NA,NA,NA,Aves,Nectarinia_purpureiventris
Nectarinia_tacazze,181,Nectac,NA,39.32304626,11.07493915,10.61993788,49.33730996,NA,NA,NA,NA,Aves,Nectarinia_tacazze
Cerastes_cerastes,182,CERCER,NA,36.60680284,23.31749996,38.23826349,38.1359701,NA,NA,NA,NA,Squamata,
Cerastes_gasperettii,183,CERGAS,NA,41.58597056,31.178266,42.93225228,42.71472828,NA,NA,NA,NA,Squamata,
Chalcides_chalcides,184,CHACHA,NA,25.62592981,8.544659841,21.16084155,35.39322142,NA,NA,NA,NA,Squamata,
Chalcides_guentheri,185,CHAGUE,NA,26.90221691,17.11810621,37.03225346,17.40252023,NA,NA,NA,NA,Squamata,
Chalcides_ocellatus,186,CHAOCE,NA,50.82767248,37.0063455,51.65739767,53.44097327,NA,NA,NA,NA,Squamata,
Chalcides_sepsoides,187,CHASEP,NA,34.65129905,21.06658035,38.29273169,33.87017955,NA,NA,NA,NA,Squamata,
