studio: session log -> session_20260908_111739.jsonl
floor: building pipeline (modules ok)
floor: pipeline created
Compute pipeline created
THE ENGINE STUDIO: overlay ready (F1)
Vulkan engine initialized: 2560 x 1440, 2 frames in flight
Chimera Engine running at http://localhost:8091/state
  /frame  -> PNG of the current render (membrane if one is loaded)
  /membrane (POST) -> load a story membrane scene
Window: 2560x1440, Press Ctrl+C to stop.
Controls: Left-drag orbit | Scroll zoom | Right-drag pan
          WASD move | Q/E up-down | Space/Ctrl zoom | R reset | P pose toggle
          F1 THE ENGINE STUDIO overlay (pipeline board + live status)
FPS: 56 (frame 56) | ft ms avg 9.17 max 10.97 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.06 max 10.00 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.07 max 11.01 | >16.7ms: 0 >33ms: 0
FPS: 55 (frame 56) | ft ms avg 9.20 max 10.98 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.18 max 10.88 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.09 max 9.99 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.08 max 9.99 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.13 max 9.99 | >16.7ms: 0 >33ms: 0
FPS: 56 (frame 56) | ft ms avg 9.19 max 10.22 | >16.7ms: 0 >33ms: 0
FPS: 55 (frame 56) | ft ms avg 9.19 max 11.74 | >16.7ms: 0 >33ms: 0
snapshot: session_snapshot/mesh_bin.blob (348 B)
FPS: 7 (frame 9) | ft ms avg 143.23 max 1266.37 | >16.7ms: 1 >33ms: 1
FPS: 298 (frame 299) | ft ms avg 0.58 max 5.36 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.42 max 0.77 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.41 max 0.69 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.42 max 0.71 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.42 max 0.96 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.42 max 0.97 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.42 max 1.00 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.42 max 0.88 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.42 max 0.90 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.43 max 0.94 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.42 max 0.77 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.44 max 0.88 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.43 max 0.83 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.42 max 0.82 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.42 max 0.77 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.43 max 0.74 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.41 max 0.98 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.46 max 1.44 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.44 max 0.85 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.43 max 0.83 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.42 max 0.77 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.44 max 1.42 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.43 max 0.87 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.43 max 0.84 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.43 max 1.01 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.45 max 0.92 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.48 max 1.11 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.49 max 0.91 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.43 max 0.95 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.43 max 1.04 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.41 max 0.92 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.44 max 0.81 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.43 max 0.81 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.42 max 0.88 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.43 max 0.91 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.45 max 1.30 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.47 max 1.26 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.44 max 0.89 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.42 max 0.90 | >16.7ms: 0 >33ms: 0
FPS: 300 (frame 300) | ft ms avg 0.43 max 1.20 | >16.7ms: 0 >33ms: 0
