Species,Video,stridenumber,subs_diam,subs_ori,subs_hght,hipTD,kneeTD,ankleTD,hlTD,hipMID,kneeMID,ankleMID,hlMID,hipLO,kneeLO,ankleLO,hlLO,shoulderTD,elbowTD,wristTD,flTD,shoulderMID,elbowMID,wristMID,flMID,shoulderLO,elbowLO,wristLO,flLO,subs_compl,tree_species,meanElbowAng,meanKneeAng,meanFLAng,meanHLAng,elbowYld,kneeYld,shoulderExcur,hipExcur,flExcur,hlExcur,horizVsang,incVsdec,sex,age,PE_1,PE_2,PE_3,PE_4,PE_5,PE_6,PE_7,PE_8,PE_9,PE_10,PE_11,PE_12,PE_13,Mass,subs_diam_std
Papio_anubis,GX015012.MP4_19018,1,0.047,26.3,NA,48.64266667,109.0373333,102.4933333,90.79033333,54.07966667,105.4933333,99.49433333,103.8453333,143.67,155.674,170.6373333,163.6236667,82.509,138.212,125.4593333,107.1366667,61.569,123.154,140.715,90.45233333,31.427,157.007,139.1736667,43.361,0.001316199,Prunus_africana,139.4576667,123.4015556,75.24883333,127.207,15.058,3.544,51.082,95.02733333,63.77566667,72.83333337,0.10351357,0.443071191,m,juvenile,-0.1854494,-0.324780757,0.240796404,0.12992794,0.007481467,0.001808088,-0.462356993,-4.20E-17,-1.34E-10,5.07E-16,1.05E-08,0.707106781,9.79E-11,19.2,0.175521686
Papio_anubis,GX015012.MP4_19018,2,0.047,26.3,NA,42.86133333,109.6983333,95.505,85.213,39.36366667,105.9993333,110.9593333,87.40133333,95.39633333,118.5693333,118.501,129.2336667,61.931,128.1116667,173.6353333,89.518,49.78066667,113.4123333,159.1573333,83.01166667,16.82,122.5183333,161.2646667,47.34833333,0.001316199,Prunus_africana,121.3474444,111.4223333,68.43316667,107.2233333,14.69933333,3.699,45.111,52.535,42.16966667,44.0206667,0.10351357,0.443071191,m,juvenile,-0.1854494,-0.324780757,0.240796404,0.12992794,0.007481467,0.001808088,-0.462356993,-4.20E-17,-1.34E-10,5.07E-16,1.05E-08,0.707106781,9.79E-11,19.2,0.175521686
Papio_anubis,GX015028.MP4_2563,1,0.112,-21.9,NA,62.87266667,142.1986667,85.427,86.27266667,55.794,130.0796667,92.83633333,87.79933333,74.27533333,74.69933333,123.7363333,116.5396667,83.10466667,149.6933333,155.0273333,98.17933333,77.10866667,135.3556667,158.457,96.65933333,NA,NA,NA,NA,0.000280579,Celtis_durandaii,NA,115.6592222,NA,101.4061667,14.33766667,12.119,NA,11.40266666,NA,30.26700003,0.072163746,-0.372987783,unknown,juvenile,-0.1854494,-0.324780757,0.240796404,0.12992794,0.007481467,0.001808088,-0.462356993,-4.20E-17,-1.34E-10,5.07E-16,1.05E-08,0.707106781,9.79E-11,19.2,0.418264443
Papio_anubis,GX015029.MP4_4705,1,0.148,-7.5,NA,57.70133333,NA,137.6236667,84.16066667,80.84966667,150.517,146.2603333,80.46433333,101.9023333,131.4606667,139.831,121.811,83.773,139.716,167.437,104.2886667,60.75366667,140.2436667,NA,87.82366667,32.88666667,118.4333333,120.5313333,63.75433333,9.87E-05,Celtis_durandaii,132.7976667,NA,84.0215,102.9858333,-0.527666667,NA,50.88633333,44.20099997,40.53433333,37.65033333,0.008555139,-0.130526192,m,adult,-0.1854494,-0.324780757,0.240796404,0.12992794,0.007481467,0.001808088,-0.462356993,-4.20E-17,-1.34E-10,5.07E-16,1.05E-08,0.707106781,9.79E-11,19.2,0.552706585
Papio_anubis,GX015031.MP4_6062,1,0.122,11,NA,60.558,113.101,81.72333333,101.1313333,NA,NA,NA,NA,50.94,86.51966667,74.023,94.68733333,80.88533333,137.9276667,142.4226667,103.876,73.494,145.2806667,132.263,89.344,NA,NA,NA,NA,0.000209904,Celtis_durandaii,NA,NA,NA,97.90933333,-7.353,NA,NA,9.618,NA,6.44399997,0.018372817,0.190808995,m,adult,-0.1854494,-0.324780757,0.240796404,0.12992794,0.007481467,0.001808088,-0.462356993,-4.20E-17,-1.34E-10,5.07E-16,1.05E-08,0.707106781,9.79E-11,19.2,0.455609483
Papio_anubis,GX015032.MP4_6839,1,0.122,11,NA,49.83966667,132.097,112.4713333,72.02733333,64.83533333,119.2936667,96.22266667,97.10033333,81.892,86.444,96.83233333,131.8823333,NA,NA,NA,NA,64.681,NA,161.5156667,87.028,NA,NA,NA,NA,0.000209904,Celtis_durandaii,NA,112.6115556,NA,101.9548333,NA,12.80333333,NA,32.05233333,NA,59.85499997,0.018372817,0.190808995,unknown,adult,-0.1854494,-0.324780757,0.240796404,0.12992794,0.007481467,0.001808088,-0.462356993,-4.20E-17,-1.34E-10,5.07E-16,1.05E-08,0.707106781,9.79E-11,19.2,0.455609483
Papio_anubis,GX015086.MP4_807,1,0.075,-22.9,NA,33.474,127.783,110.6116667,60.66366667,38.03866667,62.28533333,107.2656667,106.7946667,40.93833333,57.23333333,90.54733333,100.28,103.5356667,147.242,133.3876667,122.46,38.112,106.5493333,144.245,78.10233333,21.157,80.26266667,103.1516667,86.595,0.0002405,Diospyros_abyssinica,111.3513333,82.43388889,104.5275,80.47183333,40.69266667,65.49766667,82.37866667,7.46433333,35.865,39.61633333,0.078814594,-0.38912395,unknown,juvenile,-0.1854494,-0.324780757,0.240796404,0.12992794,0.007481467,0.001808088,-0.462356993,-4.20E-17,-1.34E-10,5.07E-16,1.05E-08,0.707106781,9.79E-11,19.2,0.280087797
Papio_anubis,GX015086.MP4_2519,1,0.075,-22.9,NA,36.86866667,140.207,127.0426667,60.52533333,30.41033333,75.45233333,107.031,94.379,35.26433333,77.314,97.94766667,92.14633333,103.0826667,157.0833333,143.8873333,115.5066667,45.44433333,112.2093333,148.8056667,78.26866667,27.27266667,67.676,98.053,95.45266667,0.0002405,Diospyros_abyssinica,112.3228889,97.65777778,105.4796667,76.33583333,44.874,64.75466667,75.81,1.60433334,20.054,31.621,0.078814594,-0.38912395,unknown,adult,-0.1854494,-0.324780757,0.240796404,0.12992794,0.007481467,0.001808088,-0.462356993,-4.20E-17,-1.34E-10,5.07E-16,1.05E-08,0.707106781,9.79E-11,19.2,0.280087797
Piliocolobus_badius,GX011065.MP4_7082,1,0.05,-12.2,NA,37.54933333,136.1993333,90.511,58.26333333,40.13566667,104.419,111.355,78.35,64.58933333,98.23933333,116.8016667,105.445,87.911,111.7643333,148.6523333,125.9026667,56.45066667,118.373,124.6636667,94.62133333,29.80733333,112.3893333,151.347,66.22466667,0.001382008,Celtis_africana,114.1755556,112.9525556,96.06366667,81.85416667,-6.608666667,31.78033333,58.10366667,27.04,59.678,47.18166667,0.022584106,-0.211324796,unknown,adult,-0.166643476,-0.258380218,-0.786312543,-0.443660152,-0.037530186,-0.009252904,-0.13200442,-4.61E-16,-8.31E-10,9.78E-17,7.65E-09,6.14E-18,2.73E-10,8.365,0.24630961
Piliocolobus_badius,GX011089.MP4_3026,1,0.247,-18.9,NA,45.01966667,112.791,73.46566667,82.35833333,44.354,98.20566667,51.27133333,95.03033333,94.77366667,106.0796667,85.57166667,136.7983333,50.68533333,115.269,NA,85.13666667,44.152,101.8423333,129.6853333,87.83633333,38.95966667,118.4416667,156.253,71.014,0.000176165,Fagara,111.851,105.6921111,78.07533333,109.5783333,13.42666667,14.58533333,11.72566667,49.754,14.12266667,54.43999997,0.053914641,-0.323917418,unknown,adult,-0.166643476,-0.258380218,-0.786312543,-0.443660152,-0.037530186,-0.009252904,-0.13200442,-4.61E-16,-8.31E-10,9.78E-17,7.65E-09,6.14E-18,2.73E-10,8.365,1.216769472
