======================================================================
THE KERNEL — BONE v2 print run
N=320, column=4x4x18, seed=20260806, control=packed, dt=0.0005
----------------------------------------------------------------------
STATEMENT: A cold-ordered cushion-spaced column between two pinned
  anchor plates can be preloaded to 1.5x its end-weight, remain
  seated and intact, spring back elastically after half-release, and
  outperform a packed-bed control under overload.
PREDICTION: End gaps stay < R_C, zero escapees, force/length return
  within 10% after half-release, ordered deflection/load <= 1/2 of
  the packed-bed control under overload.
FALSIFIERS:
  (a) SEATING   — any end gap > r_c during preload hold
  (b) ESCAPE    — any column point with NN > r_c under preload
  (c) SPRING-BACK — force/length after release differ >10% from loading
  (d) ORDERED BEATS RANDOM — ordered deflection/load not 2x better
======================================================================

Derived end-weight = 1645.231
Derived F_pre      = 2467.847


[bone] N=320 column=288 plates=32
[bone] v_plate=0.05000 lu/tick, dt=0.0005
[bone] F_pre=2467.847

[bone] tick= 18479 phase=preload_hold | closure=0.92405 | force=2475.157 | length=0.24580 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1405 | clusters=   1 | bound=1.000
[bone] tick= 18500 phase=preload_hold | closure=0.92405 | force=2329.226 | length=0.24649 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1409 | clusters=   1 | bound=1.000
[bone] tick= 19000 phase=preload_hold | closure=0.92405 | force=2075.828 | length=0.24802 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1394 | clusters=   1 | bound=1.000
[bone] tick= 19500 phase=preload_hold | closure=0.92405 | force=1922.049 | length=0.24850 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1396 | clusters=   1 | bound=1.000
[bone] tick= 20000 phase=preload_hold | closure=0.92405 | force=1921.170 | length=0.24679 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1398 | clusters=   1 | bound=1.000
[bone] tick= 20500 phase=preload_hold | closure=0.92405 | force=1942.708 | length=0.24622 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1393 | clusters=   1 | bound=1.000
[bone] tick= 21000 phase=preload_hold | closure=0.92405 | force=1962.509 | length=0.24751 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1388 | clusters=   1 | bound=1.000
[bone] tick= 21500 phase=preload_hold | closure=0.92405 | force=1927.889 | length=0.24682 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1382 | clusters=   1 | bound=1.000
[bone] tick= 22000 phase=preload_hold | closure=0.92405 | force=1940.662 | length=0.24716 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1377 | clusters=   1 | bound=1.000
[bone] tick= 22500 phase=preload_hold | closure=0.92405 | force=1937.526 | length=0.24752 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1377 | clusters=   1 | bound=1.000
