bmi,eye_frac_of_stature,foot_breadth_m,foot_length_m,hand_breadth_m,hand_circumference_m,hand_length_m,head_height_m,leg_frac_of_stature,mass_kg,stature_m,trochanterion_m,waist_frac_of_stature,waist_height_m
24.160756633842325,0.9262981574539364,0.10300000000000001,0.264,0.09,0.213,0.195,0.132,0.5304299274148521,77.5,1.7910000000000001,0.9500000000000001,0.609715242881072,1.092
26.47825705325043,0.9221484610742305,0.101,0.248,0.081,0.189,0.17500000000000002,0.129,0.5165962582981292,72.7,1.657,0.856,0.6125528062764032,1.0150000000000001
27.54543874146722,0.9282774838330394,0.095,0.265,0.08600000000000001,0.21,0.184,0.122,0.5238095238095238,79.7,1.701,0.891,0.5943562610229277,1.0110000000000001
23.324375602703117,0.9227323628219485,0.099,0.262,0.085,0.20700000000000002,0.186,0.138,0.5111982082866742,74.4,1.786,0.913,0.5991041433370661,1.07
31.428316328601227,0.9259259259259259,0.099,0.269,0.092,0.223,0.195,0.13,0.5185185185185185,96.80000000000001,1.7550000000000001,0.91,0.58005698005698,1.018
26.99769709020317,0.9274148520379676,0.109,0.274,0.094,0.227,0.20400000000000001,0.13,0.5309882747068677,86.60000000000001,1.7910000000000001,0.9510000000000001,0.6152987158012284,1.102
23.981272629902058,0.9215463331438317,0.099,0.275,0.088,0.20700000000000002,0.182,0.138,0.5326890278567368,74.2,1.7590000000000001,0.937,0.5992040932347925,1.054
28.71321119815237,0.9256983240223464,0.098,0.269,0.08600000000000001,0.211,0.191,0.133,0.5189944134078213,92.0,1.79,0.929,0.6100558659217877,1.092
25.633564728214935,0.9242424242424242,0.10300000000000001,0.26,0.088,0.20800000000000002,0.183,0.135,0.5078563411896745,81.4,1.782,0.905,0.5937149270482603,1.058
19.10156978829488,0.9298531810766721,0.10200000000000001,0.28200000000000003,0.094,0.218,0.201,0.129,0.5187601957585645,64.60000000000001,1.839,0.9540000000000001,0.6046764545948885,1.112
